"nom";"fichier";"est_diagramme";"est_preview";"chemin_source";"chemin_destination"
"participantproperty";"participantproperty.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\participantproperty.png";"icons-study/07-icones-sources/sysml1/participantproperty.png"
"port";"port.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\port.png";"icons-study/07-icones-sources/sysml1/port.png"
"previewactivitydiagram";"previewactivitydiagram.png";"oui";"oui";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\previewactivitydiagram.png";"icons-study/07-icones-sources/sysml1/previewactivitydiagram.png"
"previewblockdiagram";"previewblockdiagram.png";"oui";"oui";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\previewblockdiagram.png";"icons-study/07-icones-sources/sysml1/previewblockdiagram.png"
"previewinternalblockdiagram";"previewinternalblockdiagram.png";"oui";"oui";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\previewinternalblockdiagram.png";"icons-study/07-icones-sources/sysml1/previewinternalblockdiagram.png"
"previewpackagediagram";"previewpackagediagram.png";"oui";"oui";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\previewpackagediagram.png";"icons-study/07-icones-sources/sysml1/previewpackagediagram.png"
"previewparametricdiagram";"previewparametricdiagram.png";"oui";"oui";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\previewparametricdiagram.png";"icons-study/07-icones-sources/sysml1/previewparametricdiagram.png"
"previewsequencediagram";"previewsequencediagram.png";"oui";"oui";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\previewsequencediagram.png";"icons-study/07-icones-sources/sysml1/previewsequencediagram.png"
"previewstatediagram";"previewstatediagram.png";"oui";"oui";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\previewstatediagram.png";"icons-study/07-icones-sources/sysml1/previewstatediagram.png"
"previewusecasediagram";"previewusecasediagram.png";"oui";"oui";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\previewusecasediagram.png";"icons-study/07-icones-sources/sysml1/previewusecasediagram.png"
